Timestamp,Sensor_A,Sensor_B,Correlation
5/11/2021 8:39,Filter DP,Tank Level,-0.06822312
5/11/2021 8:39,Line Pressure,Main Pump Press,-0.047957538
5/11/2021 8:39,Line Pressure,Overspeed Press,-0.010150414
5/11/2021 8:39,Line Pressure,Vapor Press,-0.027423692
5/11/2021 8:39,Line Pressure,Tank Temp,0.028928359
5/11/2021 8:39,Line Pressure,Tank Level,-0.000981677
5/11/2021 8:39,Main Pump Press,Vapor Press,0.167057515
5/11/2021 8:39,Main Pump Press,Tank Temp,0.028297748
5/11/2021 8:39,Main Pump Press,Tank Level,-0.076027706
5/11/2021 8:39,Overspeed Press,Vapor Press,-0.015298149
5/11/2021 8:39,Main Pump Press,Overspeed Press,-0.0443824
5/11/2021 8:39,Overspeed Press,Tank Level,-0.002155896
5/11/2021 8:39,Overspeed Press,Tank Temp,-0.045548019
5/11/2021 8:39,Filter DP,Vapor Press,-0.151614183
5/11/2021 8:39,Filter DP,Overspeed Press,0.106794709
5/11/2021 8:39,Filter DP,Main Pump Press,-0.063527459
5/11/2021 8:39,Filter DP,Tank Temp,-0.283605426
5/11/2021 8:39,Tank Level,Tank Temp,0.036598381
5/11/2021 8:39,Tank Level,Vapor Press,0.006679335
5/11/2021 8:39,Tank Temp,Vapor Press,0.055410751
5/11/2021 8:39,Filter DP,Line Pressure,-0.01933727
5/13/2021 20:37,Main Pump Press,Tank Level,-0.071925016
5/13/2021 20:37,Line Pressure,Main Pump Press,-0.049485084
5/13/2021 20:37,Line Pressure,Overspeed Press,-0.010098027
5/13/2021 20:37,Line Pressure,Vapor Press,-0.027203904
5/13/2021 20:37,Line Pressure,Tank Temp,0.030956518
5/13/2021 20:37,Line Pressure,Tank Level,5.37E-06
5/13/2021 20:37,Main Pump Press,Overspeed Press,-0.047930722
5/13/2021 20:37,Main Pump Press,Vapor Press,0.148945292
5/13/2021 20:37,Main Pump Press,Tank Temp,0.000806923
5/13/2021 20:37,Overspeed Press,Vapor Press,-0.014890083
5/13/2021 20:37,Filter DP,Main Pump Press,-0.0965806
5/13/2021 20:37,Overspeed Press,Tank Level,-0.000340998
5/13/2021 20:37,Overspeed Press,Tank Temp,-0.032259262
5/13/2021 20:37,Filter DP,Tank Temp,-0.248228628
5/13/2021 20:37,Filter DP,Vapor Press,-0.184123294
5/13/2021 20:37,Filter DP,Overspeed Press,0.105214017
5/13/2021 20:37,Filter DP,Tank Level,-0.058600651
5/13/2021 20:37,Filter DP,Line Pressure,-0.03226494
5/13/2021 20:37,Tank Level,Tank Temp,0.022824989
5/13/2021 20:37,Tank Level,Vapor Press,0.008362101
5/13/2021 20:37,Tank Temp,Vapor Press,0.037237712
5/16/2021 8:47,Line Pressure,Main Pump Press,-0.048668295
5/16/2021 8:47,Line Pressure,Overspeed Press,-0.005831245
5/16/2021 8:47,Line Pressure,Vapor Press,-0.090576729
5/16/2021 8:47,Line Pressure,Tank Temp,0.030628014
5/16/2021 8:47,Line Pressure,Tank Level,0.000242077
5/16/2021 8:47,Main Pump Press,Overspeed Press,0.003696081
5/16/2021 8:47,Main Pump Press,Vapor Press,0.265512805
5/16/2021 8:47,Main Pump Press,Tank Temp,-0.007819958
5/16/2021 8:47,Main Pump Press,Tank Level,-0.080410723
5/16/2021 8:47,Overspeed Press,Vapor Press,0.024911224
5/16/2021 8:47,Filter DP,Main Pump Press,-0.045629928
5/16/2021 8:47,Overspeed Press,Tank Level,0.000631621
5/16/2021 8:47,Filter DP,Tank Temp,-0.241185905
5/16/2021 8:47,Filter DP,Vapor Press,-0.150074439
5/16/2021 8:47,Filter DP,Overspeed Press,0.063964805
5/16/2021 8:47,Filter DP,Tank Level,-0.055171837
5/16/2021 8:47,Tank Level,Tank Temp,0.02290206
5/16/2021 8:47,Tank Level,Vapor Press,-0.032387249
5/16/2021 8:47,Tank Temp,Vapor Press,0.054695225
5/16/2021 8:47,Filter DP,Line Pressure,-0.03377327
5/16/2021 8:47,Overspeed Press,Tank Temp,-0.022276772
5/18/2021 20:29,Line Pressure,Main Pump Press,-0.047133751
5/18/2021 20:29,Overspeed Press,Vapor Press,0.004316532
5/18/2021 20:29,Line Pressure,Overspeed Press,-0.004344056
5/18/2021 20:29,Line Pressure,Vapor Press,-0.090555418
5/18/2021 20:29,Line Pressure,Tank Temp,0.029642403
5/18/2021 20:29,Line Pressure,Tank Level,0.000989661
5/18/2021 20:29,Main Pump Press,Overspeed Press,-0.035465575
5/18/2021 20:29,Main Pump Press,Vapor Press,0.260598193
5/18/2021 20:29,Main Pump Press,Tank Temp,-0.016976585
5/18/2021 20:29,Main Pump Press,Tank Level,-0.081575998
5/18/2021 20:29,Overspeed Press,Tank Temp,-0.017184501
5/18/2021 20:29,Tank Temp,Vapor Press,0.058230148
5/18/2021 20:29,Tank Level,Vapor Press,-0.036654405
5/18/2021 20:29,Tank Level,Tank Temp,0.021709333
5/18/2021 20:29,Filter DP,Line Pressure,-0.030328667
5/18/2021 20:29,Filter DP,Main Pump Press,-0.025843826
5/18/2021 20:29,Filter DP,Overspeed Press,0.075678565
5/18/2021 20:29,Filter DP,Vapor Press,-0.143857573
5/18/2021 20:29,Filter DP,Tank Temp,-0.254229413
5/18/2021 20:29,Filter DP,Tank Level,-0.048229331
5/18/2021 20:29,Overspeed Press,Tank Level,-0.006541904
5/21/2021 11:18,Main Pump Press,Tank Temp,-0.00313726
5/21/2021 11:18,Main Pump Press,Vapor Press,0.288091694
5/21/2021 11:18,Main Pump Press,Overspeed Press,-0.035760424
5/21/2021 11:18,Line Pressure,Tank Level,0.001341728
5/21/2021 11:18,Main Pump Press,Tank Level,-0.082901416
5/21/2021 11:18,Line Pressure,Vapor Press,-0.100787865
5/21/2021 11:18,Line Pressure,Overspeed Press,-0.004335767
5/21/2021 11:18,Line Pressure,Main Pump Press,-0.047545639
5/21/2021 11:18,Line Pressure,Tank Temp,0.027953725
5/21/2021 11:18,Overspeed Press,Vapor Press,-0.000498706
5/21/2021 11:18,Filter DP,Main Pump Press,-0.084199154
