Timestamp,Sensor_A,Sensor_B,Previous_Correlation,Current_Correlation,Correlation_Change
2/17/2023 6:05,Overspeed Press,Tank Level,-0.531659034,0.96961826,1.501277294
4/8/2023 21:05,Overspeed Press,Tank Level,0.886939533,-0.478188359,1.365127892
4/8/2023 21:05,Line Pressure,Overspeed Press,0.747198436,-0.549182128,1.296380564
7/2/2022 5:39,Main Pump Press,Overspeed Press,-0.261976562,0.985637987,1.247614549
2/17/2023 6:05,Filter DP,Overspeed Press,0.427793643,-0.650958412,1.078752055
4/8/2023 21:05,Overspeed Press,Tank Temp,0.943291528,-0.126338326,1.069629853
2/17/2023 6:05,Overspeed Press,Tank Temp,-0.07679116,0.954201571,1.030992732
2/17/2023 6:05,Tank Level,Tank Temp,-0.018922147,0.975467761,0.994389908
4/8/2023 21:05,Tank Temp,Vapor Press,-0.853474331,0.137670612,0.991144943
4/8/2023 21:05,Main Pump Press,Tank Temp,0.893359056,-0.086158615,0.979517671
8/3/2021 20:38,Overspeed Press,Tank Level,0.98146215,0.038341995,0.943120155
5/12/2022 23:24,Main Pump Press,Overspeed Press,0.867350302,-0.068249596,0.935599898
4/8/2023 21:05,Tank Level,Vapor Press,-0.712635388,0.197315172,0.90995056
7/12/2021 8:25,Overspeed Press,Tank Level,0.106639603,0.988048095,0.881408492
4/8/2023 21:05,Main Pump Press,Overspeed Press,0.848917581,-0.00859399,0.857511571
2/17/2023 6:05,Line Pressure,Overspeed Press,-0.262439625,0.578825886,0.841265512
8/31/2022 6:02,Main Pump Press,Overspeed Press,0.029781058,0.856003561,0.826222503
12/24/2021 6:25,Main Pump Press,Tank Temp,-0.308930136,0.507540214,0.81647035
12/18/2024 0:06,Main Pump Press,Overspeed Press,-0.030418097,0.783346532,0.813764629
2/17/2023 6:05,Tank Level,Vapor Press,0.014859473,-0.795695551,0.810555024
2/17/2023 6:05,Line Pressure,Vapor Press,-0.022440881,-0.815540352,0.793099471
4/8/2023 21:05,Line Pressure,Vapor Press,-0.64582279,0.143645776,0.789468566
2/17/2023 6:05,Overspeed Press,Vapor Press,0.087567036,-0.700873855,0.788440891
12/24/2021 6:25,Overspeed Press,Tank Temp,-0.301942395,0.481037507,0.782979902
2/17/2023 6:05,Filter DP,Tank Temp,-0.011916716,-0.763719462,0.751802746
8/8/2022 17:57,Main Pump Press,Overspeed Press,0.731212541,0.000153995,0.731058546
12/24/2021 6:25,Main Pump Press,Overspeed Press,0.263285117,0.991442361,0.728157245
4/8/2023 21:05,Main Pump Press,Vapor Press,-0.889915758,-0.16425302,0.725662738
10/12/2021 23:06,Filter DP,Vapor Press,0.59723158,-0.128412618,0.725644198
4/8/2023 21:05,Tank Level,Tank Temp,0.902558368,0.180142546,0.722415822
12/18/2024 0:06,Line Pressure,Overspeed Press,-0.049047063,-0.747793351,0.698746287
12/24/2021 6:25,Line Pressure,Main Pump Press,0.192419851,-0.502871677,0.695291529
7/2/2022 5:39,Overspeed Press,Tank Level,-0.031998001,0.647845218,0.679843219
12/24/2021 6:25,Line Pressure,Overspeed Press,0.194569942,-0.484495889,0.679065831
5/12/2022 23:24,Line Pressure,Main Pump Press,-0.726145875,-0.052831093,0.673314781
4/8/2023 21:05,Main Pump Press,Tank Level,0.697923332,0.026244634,0.671678698
5/12/2022 23:24,Line Pressure,Overspeed Press,-0.838090293,-0.169453269,0.668637024
7/27/2021 8:42,Line Pressure,Tank Temp,-0.036233103,-0.7026344,0.666401297
5/23/2023 17:30,Overspeed Press,Tank Temp,0.21444424,0.86709477,0.65265053
8/21/2022 5:26,Line Pressure,Tank Temp,-0.691393121,-0.073592948,0.617800173
5/12/2022 23:24,Line Pressure,Vapor Press,-0.201113994,0.401440381,0.602554374
3/5/2025 12:53,Overspeed Press,Tank Temp,0.673505641,0.078367324,0.595138317
2/17/2023 6:05,Tank Temp,Vapor Press,-0.121189075,-0.706616952,0.585427877
4/12/2022 8:49,Overspeed Press,Tank Level,0.949380614,0.36838792,0.580992694
2/17/2023 6:05,Filter DP,Vapor Press,-0.247149358,0.332041739,0.579191097
5/12/2022 23:24,Overspeed Press,Tank Temp,0.623582106,0.045319107,0.578262999
4/8/2023 21:05,Line Pressure,Tank Level,0.825740046,0.247493664,0.578246382
4/12/2022 8:49,Tank Level,Tank Temp,0.927833602,0.36062207,0.567211532
6/13/2025 12:08,Main Pump Press,Overspeed Press,-0.205703254,-0.770708826,0.565005572
4/8/2023 21:05,Line Pressure,Main Pump Press,0.558260794,-1.15E-14,0.558260794
4/8/2023 21:05,Overspeed Press,Vapor Press,-0.836020354,-0.284501298,0.551519057
5/23/2023 17:30,Line Pressure,Tank Temp,0.184812558,-0.357106324,0.541918882
12/28/2024 0:15,Line Pressure,Overspeed Press,-0.705315564,-0.167307706,0.538007858
5/12/2022 23:24,Main Pump Press,Tank Temp,0.540007532,0.004987772,0.53501976
5/10/2022 11:26,Main Pump Press,Overspeed Press,0.334330479,0.867350302,0.533019823
