iter	Passed	Remaining
0	149	448933
1	167	250663
2	176	176562
3	182	136512
4	189	113263
5	194	97071
6	200	85819
7	205	76748
8	209	69668
9	214	64025
10	218	59366
11	222	55471
12	227	52158
13	239	51148
14	260	51776
15	276	51523
16	286	50280
17	291	48299
18	305	47898
19	318	47383
20	323	45891
21	334	45315
22	339	43991
23	351	43581
24	358	42627
25	367	42018
26	372	40986
27	377	40067
28	385	39479
29	396	39272
30	401	38416
31	407	37774
32	411	37037
33	416	36319
34	422	35818
35	427	35180
36	431	34588
37	437	34125
38	442	33574
39	446	33050
40	451	32584
41	456	32117
42	460	31672
43	464	31233
44	470	30889
45	474	30494
46	479	30105
47	486	29943
48	492	29661
49	499	29495
50	506	29272
51	511	29010
52	525	29195
53	534	29186
54	539	28896
55	544	28606
56	548	28342
57	553	28056
58	557	27786
59	563	27601
60	568	27393
61	573	27153
62	578	26962
63	582	26722
64	586	26497
65	593	26397
66	599	26244
67	604	26045
68	610	25938
69	615	25744
70	619	25545
71	625	25444
72	630	25266
73	634	25095
74	641	25011
75	645	24843
76	650	24676
77	656	24609
78	661	24456
79	665	24300
80	671	24204
81	676	24090
82	685	24102
83	690	23961
84	694	23817
85	698	23677
86	704	23588
87	708	23451
88	713	23324
89	719	23263
90	723	23138
91	728	23016
92	734	22948
93	738	22828
94	742	22710
95	748	22630
96	753	22538
97	757	22435
98	762	22330
99	767	22243
100	771	22155
101	776	22049
102	781	21984
103	786	21891
104	790	21791
105	797	21768
106	801	21678
107	806	21583
108	812	21541
109	820	21568
110	826	21509
111	831	21432
112	835	21343
113	839	21257
114	844	21190
115	848	21105
116	853	21024
117	859	20995
118	863	20915
119	868	20836
120	873	20792
121	879	20739
122	883	20664
123	888	20612
124	893	20544
125	897	20469
126	901	20395
127	907	20357
128	911	20287
129	915	20217
130	921	20182
131	925	20113
132	929	20042
133	934	19994
134	939	19935
135	943	19871
136	948	19811
137	958	19884
138	963	19822
139	968	19790
140	973	19746
141	978	19689
142	983	19658
143	988	19596
144	992	19537
145	997	19493
146	1002	19447
147	1006	19389
148	1010	19336
149	1016	19310
150	1020	19256
151	1024	19201
152	1030	19177
153	1034	19123
154	1038	19069
155	1043	19027
156	1048	18981
157	1052	18930
158	1056	18883
159	1062	18866
160	1067	18816
161	1071	18769
162	1077	18747
163	1081	18705
164	1085	18657
165	1090	18620
166	1094	18574
167	1099	18527
168	1103	18481
169	1109	18469
170	1113	18424
171	1117	18380
172	1123	18360
173	1127	18318
174	1132	18276
175	1137	18249
176	1141	18213
177	1146	18170
178	1150	18132
179	1156	18121
180	1160	18077
181	1164	18035
182	1170	18015
183	1175	17983
184	1179	17944
185	1184	17913
186	1191	17917
187	1196	17893
188	1202	17882
189	1206	17846
190	1211	17811
191	1216	17791
192	1220	17756
193	1225	17720
194	1228	17665
195	1233	17648
196	1237	17613
197	1242	17578
198	1248	17579
199	1254	17558
200	1258	17525
201	1264	17509
202	1269	17486
203	1273	17453
204	1278	17429
205	1282	17395
206	1286	17362
207	1290	17326
208	1296	17315
209	1300	17279
210	1304	17247
211	1311	17253
212	1316	17231
213	1321	17199
214	1327	17193
215	1332	17171
216	1336	17144
217	1343	17141
218	1347	17112
219	1352	17084
220	1358	17081
221	1362	17053
222	1368	17041
223	1374	17032
224	1379	17019
225	1388	17042
226	1392	17011
227	1396	16981
228	1400	16950
229	1407	16949
230	1411	16922
231	1415	16892
